County,Population
".Autauga County, Alabama","58,800"
".Baldwin County, Alabama","231,767"
".Barbour County, Alabama","25,226"
".Bibb County, Alabama","22,284"
".Blount County, Alabama","59,130"
".Bullock County, Alabama","10,355"
".Butler County, Alabama","19,048"
".Calhoun County, Alabama","116,437"
".Chambers County, Alabama","34,692"
".Cherokee County, Alabama","24,984"
".Chilton County, Alabama","45,012"
".Choctaw County, Alabama","12,664"
".Clarke County, Alabama","23,091"
".Clay County, Alabama","14,235"
".Cleburne County, Alabama","15,055"
".Coffee County, Alabama","53,470"
".Colbert County, Alabama","57,232"
".Conecuh County, Alabama","11,594"
".Coosa County, Alabama","10,379"
".Covington County, Alabama","37,570"
".Crenshaw County, Alabama","13,201"
".Cullman County, Alabama","87,861"
".Dale County, Alabama","49,320"
".Dallas County, Alabama","38,470"
".DeKalb County, Alabama","71,627"
".Elmore County, Alabama","87,980"
".Escambia County, Alabama","36,768"
".Etowah County, Alabama","103,415"
".Fayette County, Alabama","16,322"
".Franklin County, Alabama","32,111"
".Geneva County, Alabama","26,662"
".Greene County, Alabama","7,732"
".Hale County, Alabama","14,788"
".Henry County, Alabama","17,141"
".Houston County, Alabama","107,213"
".Jackson County, Alabama","52,563"
".Jefferson County, Alabama","674,311"
".Lamar County, Alabama","13,971"
".Lauderdale County, Alabama","93,560"
".Lawrence County, Alabama","33,058"
".Lee County, Alabama","174,341"
".Limestone County, Alabama","103,561"
".Lowndes County, Alabama","10,319"
".Macon County, Alabama","19,531"
".Madison County, Alabama","388,156"
".Marengo County, Alabama","19,325"
".Marion County, Alabama","29,334"
".Marshall County, Alabama","97,609"
".Mobile County, Alabama","414,810"
".Monroe County, Alabama","19,768"
".Montgomery County, Alabama","228,957"
".Morgan County, Alabama","123,452"
".Perry County, Alabama","8,511"
".Pickens County, Alabama","19,125"
".Pike County, Alabama","33,003"
".Randolph County, Alabama","21,966"
".Russell County, Alabama","59,171"
".St. Clair County, Alabama","91,494"
".Shelby County, Alabama","223,024"
".Sumter County, Alabama","12,343"
".Talladega County, Alabama","82,153"
".Tallapoosa County, Alabama","41,311"
".Tuscaloosa County, Alabama","228,135"
".Walker County, Alabama","65,345"
".Washington County, Alabama","15,390"
".Wilcox County, Alabama","10,596"
".Winston County, Alabama","23,540"
".Aleutians East Borough, Alaska","3,420"
".Aleutians West Census Area, Alaska","5,232"
".Anchorage Municipality, Alaska","291,246"
".Bethel Census Area, Alaska","18,664"
".Bristol Bay Borough, Alaska",843
".Chugach Census Area, Alaska","7,104"
".Copper River Census Area, Alaska","2,616"
".Denali Borough, Alaska","1,624"
".Dillingham Census Area, Alaska","4,858"
".Fairbanks North Star Borough, Alaska","95,667"
".Haines Borough, Alaska","2,079"
".Hoonah-Angoon Census Area, Alaska","2,356"
".Juneau City and Borough, Alaska","32,250"
".Kenai Peninsula Borough, Alaska","58,797"
".Ketchikan Gateway Borough, Alaska","13,950"
".Kodiak Island Borough, Alaska","13,097"
".Kusilvak Census Area, Alaska","8,368"
".Lake and Peninsula Borough, Alaska","1,476"
".Matanuska-Susitna Borough, Alaska","107,078"
".Nome Census Area, Alaska","10,039"
".North Slope Borough, Alaska","11,037"
".Northwest Arctic Borough, Alaska","7,794"
".Petersburg Borough, Alaska","3,401"
".Prince of Wales-Hyder Census Area, Alaska","5,759"
".Sitka City and Borough, Alaska","8,452"
".Skagway Municipality, Alaska","1,242"
".Southeast Fairbanks Census Area, Alaska","6,811"
".Wrangell City and Borough, Alaska","2,127"
".Yakutat City and Borough, Alaska",663
".Yukon-Koyukuk Census Area, Alaska","5,345"
".Apache County, Arizona","66,024"
".Cochise County, Arizona","125,440"
".Coconino County, Arizona","145,098"
".Gila County, Arizona","53,272"
".Graham County, Arizona","38,539"
".Greenlee County, Arizona","9,563"
".La Paz County, Arizona","16,552"
".Maricopa County, Arizona","4,425,315"
".Mohave County, Arizona","213,261"
".Navajo County, Arizona","106,715"
".Pima County, Arizona","1,043,441"
".Pinal County, Arizona","426,007"
".Santa Cruz County, Arizona","47,663"
".Yavapai County, Arizona","236,211"
".Yuma County, Arizona","205,009"
".Arkansas County, Arkansas","17,144"
".Ashley County, Arkansas","19,064"
".Baxter County, Arkansas","41,637"
".Benton County, Arkansas","284,334"
".Boone County, Arkansas","37,374"
".Bradley County, Arkansas","10,542"
".Calhoun County, Arkansas","4,740"
".Carroll County, Arkansas","28,257"
".Chicot County, Arkansas","10,212"
".Clark County, Arkansas","21,462"
".Clay County, Arkansas","14,551"
".Cleburne County, Arkansas","24,720"
".Cleveland County, Arkansas","7,551"
".Columbia County, Arkansas","22,796"
".Conway County, Arkansas","20,713"
".Craighead County, Arkansas","111,242"
".Crawford County, Arkansas","60,135"
".Crittenden County, Arkansas","48,167"
".Cross County, Arkansas","16,834"
".Dallas County, Arkansas","6,478"
".Desha County, Arkansas","11,395"
".Drew County, Arkansas","17,346"
".Faulkner County, Arkansas","123,487"
".Franklin County, Arkansas","17,104"
".Fulton County, Arkansas","12,071"
".Garland County, Arkansas","100,173"
".Grant County, Arkansas","17,959"
".Greene County, Arkansas","45,732"
".Hempstead County, Arkansas","20,065"
".Hot Spring County, Arkansas","33,043"
".Howard County, Arkansas","12,786"
".Independence County, Arkansas","37,933"
".Izard County, Arkansas","13,580"
